Member,Party,Vote
Mr Ramsey,Liberal Party of Australia,No
Dr Reid,Australian Labor Party,Aye
Ms Rishworth,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms Rowland,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,No
Mr Shorten,Australian Labor Party,Aye
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,Aye
Mr Stevens,Liberal Party of Australia,No
Mr Sukkar,Liberal Party of Australia,No
Ms Swanson,Australian Labor Party,Aye
Mr Taylor,Liberal Party of Australia,No
Mr Tehan,Liberal Party of Australia,No
Ms Templeman,Australian Labor Party,Aye
Mr Thistlethwaite,Australian Labor Party,Aye
Mr Thompson,Liberal National Party of Queensland,No
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,Aye
Ms Vamvakinou,Australian Labor Party,Aye
Mr van Manen,Liberal National Party of Queensland,No
Mr Vasta,Liberal National Party of Queensland,No
Mr Violi,Liberal Party of Australia,No
Mr Wallace,Liberal National Party of Queensland,No
Ms Ware,Liberal Party of Australia,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,Aye
Dr Webster,The Nationals,No
Ms Wells,Australian Labor Party,Aye
Mr Wilkie,Independent,Aye
Mr Willcox,Liberal National Party of Queensland,No
Mr R Wilson,Liberal Party of Australia,No
Mr J Wilson,Australian Labor Party,Aye
Mr Wolahan,Liberal Party of Australia,No
Mr Wood,Liberal Party of Australia,No
Mr Young,Liberal National Party of Queensland,No
Mr Zappia,Australian Labor Party,Aye
