id,title,question,date,aye_votes,no_votes,mover,mover_party,division_type,bill_type,portfolio,orig_house,status,conscience_vote,Coalition,Australian Labor Party,Australian Greens,Ms Chaney,Ms Daniel,Dr Haines,Dr M Ryan,Dr Scamps,Ms Spender,Ms Steggall,Ms Tink,Mr Wilkie,Ms Le
1745,Climate Change Bill 2022,That the amendment be agreed to,2022-08-04T10:12:47.767,87,56,Ms Daniel,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1746,Climate Change Bill 2022 and the Climate Change (Consequential Amendments) Bill 2022,Detailed amendments—That amendments (1) and (2) to the Climate Change Bill 2022 and amendments (1) and (2) to the Climate Change (Consequential Amendments) Bill 2022 be agreed to,2022-08-04T10:31:59.027,89,56,Ms Sharkie,Centre Alliance,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1748,Climate Change Bill 2022,Detailed amendments—That the amendments be agreed too,2022-08-04T11:16:06.937,90,54,Ms Spender,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1749,Climate Change Bill 2022,Detailed amendment—That the amendment be agreed to,2022-08-04T11:52:21.567,89,56,Ms Tink,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1750,Climate Change Bill 2022,Detailed amendment—That the amendment be agreed to,2022-08-04T12:02:44.897,89,56,Ms Steggall,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1751,Climate Change Bill 2022,Detailed amendment—That the amendment be agreed to,2022-08-04T12:14:56.7,88,56,Ms Watson-Brown,Australian Greens,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,
1752,Climate Change Bill 2022 and Climate Change (Consequential Amendments) Bill 2022,"That the bills, as amended, be agreed to",2022-08-04T12:28:49.283,89,55,Ms Watson-Brown,Australian Greens,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,
1753,Climate Change Bill 2022,Detailed amendments—That the amendments be disagreed to,2022-08-04T15:25:37.837,128,7,Mr Bandt,Australian Greens,procedural,,,,,FALSE,Aye,Aye,No,,Aye,,No,Aye,Aye,Aye,No,No,Aye
1754,Treasury Laws Amendment (2022 Measures No. 1) Bill 2022,That the amendments be agreed to,2022-08-04T16:21:26.917,86,55,Mr Jones,Australian Labor Party,bill,Government,Treasury,House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,Aye,,,Aye,Aye,Aye
1747,Climate Change Bill 2022,Detailed amendments—That the amendments be disagreed to,2022-08-04T16:45:38.81,127,8,Mr Wilkie,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,Aye,Aye,No,,Aye,,No,No,Aye,Aye,No,No,Aye
1766,Suspension of standing orders,That the motion be agreed to,2022-09-05T15:34:41.447,87,53,Ms Daniel,Independent,procedural,,,,,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,
1767,Motion to amend standing and sessional orders,That the motion be agreed to,2022-09-05T15:44:18.847,89,54,Ms Daniel,Independent,procedural,,,,,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1768,Suspension of standing orders,That the motion be disagreed to,2022-09-05T16:04:14.12,73,70,Mr Fletcher,Liberal Party of Australia,procedural,,,,,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1769,Aged Care Amendment (Implementing Care Reform) Bill 2022,2nd reading—That the amendment be disagreed to,2022-09-08T07:54:46.72,70,65,Ms Sharkie,Centre Alliance,bill,Government,Health and Aged Care,House of Representatives,Act,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1770,Aged Care Amendment (Implementing Care Reform) Bill 2022,2nd reading—That the amendment be disagreed to,2022-09-08T11:47:28.313,74,61,Ms Ley,Liberal Party of Australia,bill,Government,Health and Aged Care,House of Representatives,Act,FALSE,No,Aye,Aye,No,No,No,No,No,No,No,No,No,No
1771,Aged Care Amendment (Implementing Care Reform) Bill 2022,Detailed amendment—That the amendment be disagreed to,2022-09-08T11:51:32.69,75,12,Ms Sharkie,Centre Alliance,bill,Government,Health and Aged Care,House of Representatives,Act,FALSE,Aye,Aye,Aye,No,No,No,No,No,No,No,No,No,No
1772,Suspension of standing and sessional orders,That the motion be disagreed to,2022-09-08T12:09:20.657,84,53,Mr Dutton,Liberal National Party of Queensland,procedural,,,,,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,
1773,Climate Change Bill 2022,Senate amendments—That the amendments be agreed to,2022-09-08T15:09:36.017,86,50,Mr Bowen,Australian Labor Party,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,
1774,Climate Change (Consequential Amendments) Bill 2022,Senate amendment—That the amendment be agreed to,2022-09-08T16:26:44.357,86,50,Mr Bowen,Australian Labor Party,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,
1775,Treasury Laws Amendment (2022 Measures No. 2) Bill 2022,2nd reading—That the amendment be disagreed to,2022-09-26T08:52:56.23,68,6,Mr Chandler-Mather ,Australian Greens,bill,Government,Treasury,House of Representatives,Act,FALSE,Aye,Aye,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,
1776,Suspension of standing and sessional orders,That the motion be disagreed to,2022-09-27T10:46:59.017,51,15,Mr Bandt,Australian Greens,procedural,,,,,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1777,Social Security (Administration) Amendment (Repeal of Cashless Debit Card and Other Measures) Bill 2022,Senate amendments—That the amendments be agreed to,2022-09-28T08:06:22.477,87,50,Ms Rishworth,Australian Labor Party,bill,Government,Social Services,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1778,Social Services and Other Legislation Amendment (Lifting the Income Limit for the Commonwealth Seniors Health Card) Bill 2022,Senate amendments—that amendments (2) to (7) and (14) to (16) be disagreed to,2022-10-26T09:40:17.02,74,67,Ms Rishworth,Australian Labor Party,bill,Government,Social Services,House of Representatives,Act,FALSE,No,Aye,No,No,No,,No,No,No,No,No,No,No
1779,Offshore Electricity Infrastructure Legislation Amendment Bill 2022,Detailed amendment—That the amendment be disagreed to,2022-10-26T09:48:40.48,87,54,Mr Ted O'Brien,Liberal National Party of Queensland,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,Aye
1780,Suspension of standing and sessional orders,"That the motion for the suspension of standing and sessional orders, as amended, be agreed to",2022-10-26T16:32:48.763,78,63,Mr Burke,Australian Labor Party,procedural,,,,,FALSE,No,Aye,Aye,No,No,No,No,No,No,No,No,Aye,No
1781,Family Assistance Legislation Amendment (Cheaper Child Care) Bill 2022,2nd reading—That the amendment moved by Mr Chandler-Mather to the amendment proposed by Ms Bell be disagreed to,2022-10-27T08:11:18.127,83,5,Mr Chandler-Mather,Australian Greens,bill,Government,Education,House of Representatives,Act,FALSE,Aye,Aye,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,Aye
1782,Family Assistance Legislation Amendment (Cheaper Child Care) Bill 2022,2nd reading—That the amendment moved by Ms Bell be disagreed to,2022-10-27T10:42:18.19,78,66,Ms Bell,Liberal National Party of Queensland,bill,Government,Education,House of Representatives,Act,FALSE,No,Aye,Aye,No,No,No,No,No,No,No,No,Aye,No
1783,Treasury Laws Amendment (2022 Measures No. 3) Bill 2022,Detailed amendments—That Opposition amendments (1) and (3) be disagreed to,2022-10-27T10:49:03.91,83,56,Mr Robert,Liberal National Party of Queensland,bill,Government,Treasury,House of Representatives,Act,FALSE,No,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1784,Treasury Laws Amendment (2022 Measures No. 3) Bill 2022,Detailed amendments—That the Opposition amendments (2) and (4) be disagreed to,2022-10-27T11:29:59.077,78,68,Mr Robert,Liberal National Party of Queensland,bill,Government,Treasury,House of Representatives,Act,FALSE,No,Aye,Aye,No,No,No,No,No,No,No,No,No,No
1785,High Speed Rail Authority Bill 2022,2nd reading—That the amendment be disagreed to,2022-10-27T11:53:46.757,48,9,Ms Watson-Brown,Australian Greens,bill,Government,"Infrastructure, Transport, Regional Development, Communications and the Arts",House of Representatives,Act,FALSE,Aye,Aye,No,Aye,Aye,Aye,Aye,No,Aye,Aye,Aye,No,No
1786,Emergency Response Fund Amendment (Disaster Ready Fund) Bill 2022,2nd reading—That the amendment be disagreed to,2022-10-27T13:10:21.343,89,54,Mr Hogan,The Nationals,bill,Government,Finance,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1787,Disallowance motion—Export Control (Animals) Amendment (Northern Hemisphere Summer Prohibition) Rules 2022,That the motion be disagreed to,2022-10-27T17:57:11.387,30,13,Mr Wilkie,Independent,procedural,,,,,FALSE,Aye,Aye,No,Aye,No,No,No,No,No,No,No,No,
1788,Anti-Discrimination and Human Rights Legislation Amendment (Respect at Work) Bill 2022,Detailed amendments—That Opposition amendments (1) to (3) and (5) be disagreed to,2022-11-07T08:58:54.697,81,57,Mr Leeser,Liberal Party of Australia,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,No,,Aye,Aye,Aye,No,Aye,No
1789,Anti-Discrimination and Human Rights Legislation Amendment (Respect at Work) Bill 2022,Detailed amendments—That Opposition amendments (4) and (6) to (8) be disagreed to,2022-11-07T12:55:03.873,86,53,Mr Leeser,Liberal Party of Australia,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1790,Anti-Discrimination and Human Rights Legislation Amendment (Respect at Work) Bill 2022,Detailed amendments—That Opposition amendments (9) and (10) be disagreed to,2022-11-07T13:05:45.453,84,54,Mr Leeser,Liberal Party of Australia,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1791,Anti-Discrimination and Human Rights Legislation Amendment (Respect at Work) Bill 2022,Detailed amendment—That Opposition amendment (11) be disagreed to,2022-11-07T13:15:30.677,87,52,Mr Leeser,Liberal Party of Australia,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1792,Suspension of standing and sessional orders,That the motion for the suspension of standing and sessional orders be disagreed to,2022-11-07T13:23:03.293,77,63,,,procedural,,,,,FALSE,No,Aye,Aye,No,No,No,No,No,No,No,No,No,No
1793,Anti-discrimination (respect at work),Detailed amendments—That the amendments be disagreed to,2022-11-07T15:58:04.213,69,15,Ms Spender,Independent,bill,Government,Attorney-General,House of Representatives,Act,TRUE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,Aye
1794,Anti-Discrimination and Human Rights Legislation Amendment (Respect at Work) Bill 2022,Detailed amendments—That the amendments be disagreed to,2022-11-07T16:12:09.153,83,9,Dr M Ryan,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,Aye,Aye,No,No,Aye,Aye,No,No,Aye,Aye,Aye,No,No
1795,Anti-Discrimination and Human Rights Legislation Amendment (Respect at Work) Bill 2022,Detailed amendment—That the amendment be disagreed to,2022-11-07T16:33:21.967,63,14,Ms Steggall,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,Aye
1796,Suspension of standing and sessional orders,That the amendment be disagreed to,2022-11-08T10:01:55.033,72,67,Mr Fletcher,Liberal Party of Australia,procedural,,,,,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1797,Suspension of standing and sessional orders,That the motion be agreed to,2022-11-08T16:51:10.207,72,67,Mr Burke,Australian Labor Party,procedural,,,,,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1798,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",2nd reading—That the amendment moved by Ms Sharkie to the amendment proposed by Ms Spender be disagreed to,2022-11-10T07:59:20.58,79,57,Ms Sharkie,Centre Alliance,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,Aye,Aye,No,No,No,No,Aye,No
1799,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",2nd reading—That the amendment moved by Ms Spender to the amendment proposed by Mr Dutton be disagreed to,2022-11-10T09:24:01.98,77,59,Ms Spender,Independent,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,No,No,Aye,No,No,No,No,Aye,No
1800,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",2nd reading—That the amendment moved by Mr Dutton be disagreed to,2022-11-10T09:27:41.68,80,58,Mr Dutton,Liberal National Party of Queensland,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,Aye,Aye,No,No,No,No,Aye,No
1801,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",That the bill be read a second time,2022-11-10T09:30:38.173,80,58,Mr Burke,Australian Labor Party,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,No,Aye,No,No,No,No,Aye,No
1802,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",Detailed amendment—That the amendment to Government amendment (30) be disagreed to,2022-11-10T09:33:36.507,78,59,Ms Spender,Independent,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,No,No,No,No,No,No,No,Aye,No
1803,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022","Detailed amendments—That the Government amendments, as amended, be agreed to",2022-11-10T10:04:54.867,85,52,Mr Burke,Australian Labor Party,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,No,Aye,Aye,Aye
1804,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",Detailed amendments—That the Opposition amendments be disagreed to,2022-11-10T10:08:21.713,83,54,Mr Fletcher,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,Aye,Aye,Aye,No,No,No,Aye,Aye
1805,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",Detailed amendments—That the amendments be disagreed to,2022-11-10T10:23:44.69,80,54,Ms Sharkie,Centre Alliance,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,No,Aye,No,No,No,,Aye,Aye
1806,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",Detailed amendments—That the amendments be disagreed to,2022-11-10T10:52:52.447,80,53,Ms Spender,Independent,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,Aye,Aye,No,No,No,,Aye,
1807,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",Detailed amendments—That the amendments be disagreed to,2022-11-10T11:18:35.677,77,56,Ms Steggall,Independent,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,No,No,No,No,No,No,,Aye,
1808,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",Detailed amendments—That the amendments be disagreed to,2022-11-10T11:56:13.323,80,56,Dr Scamps,Independent,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,No,Aye,No,No,No,,Aye,No
1809,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",Detailed amendment—That the amendment be disagreed to,2022-11-10T12:28:28.177,83,53,Mr Katter,Katter's Australian Party,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,,Aye,No
1810,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022","That the bill, as amended, be agreed to",2022-11-10T12:58:16.427,80,56,,,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,No,Aye,No,No,No,,Aye,No
1811,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",That the bill be read a third time,2022-11-10T13:01:28.033,80,56,,,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,No,Aye,No,No,No,,Aye,No
1822,Suspension of standing and sessional orders,That the motion for the suspension of standing and sessional orders be disagreed to,2022-11-22T11:29:00.743,77,57,Mr Fletcher,Liberal Party of Australia,procedural,,,,,FALSE,No,Aye,Aye,No,Aye,Aye,Aye,Aye,No,No,No,Aye,No
1823,National Anti-Corruption Commission Bill 2022,Detailed amendments—That amendments (5) and (6) be disagreed to,2022-11-24T08:22:23.703,77,14,Dr Haines,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,Aye
1824,National Anti-Corruption Commission Bill 2022,Detailed amendments—That amendment (7) be disagreed to,2022-11-24T10:03:24.73,54,16,Dr Haines,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1825,National Anti-Corruption Commission Bill 2022,Detailed amendments—That amendments (1) to (4) be disagreed to,2022-11-24T10:20:08.383,58,15,Dr Haines,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1826,National Anti-Corruption Commission Bill 2022,Detailed amendments—That amendments (8) and (9) be disagreed to,2022-11-24T10:52:51.197,49,16,Dr Haines,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1827,National Anti-Corruption Commission Bill 2022,Detailed amendment—That amendment (10) be disagreed to,2022-11-24T11:12:43.85,55,14,Dr Haines,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1828,National Anti-Corruption Commission Bill 2022,Detailed amendments—That amendments (1) to (3) be disagreed to,2022-11-24T11:30:55.323,73,63,Ms Le,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,No,No,No,Aye,Aye,No,No,No,No,,No
1829,National Anti-Corruption Commission Bill 2022,That amendments (4) and (5) be disagreed to,2022-11-24T11:51:38.913,79,56,Ms Le,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,Aye,Aye,No,Aye,Aye,No,Aye,No
1830,National Anti-Corruption Commission Bill 2022,Detailed amendments—That the amendments be disagreed to,2022-11-24T12:10:15.273,45,6,Ms Steggall,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,Aye,Aye,Aye,No,No,Aye,Aye,No,No,No,No,,
1831,National Anti-Corruption Commission Bill 2022,Detailed amendments—That the amendment be disagreed to,2022-11-24T12:34:55.507,46,16,Ms Spender,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1832,National Anti-Corruption Commission Bill 2022,Detailed amendments—That the amendments be disagreed to,2022-11-24T12:44:47.427,70,64,Ms Sharkie,Centre Alliance,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1833,National Anti-Corruption Commission Bill 2022,Detailed amendment—That the amendment be disagreed to,2022-11-24T12:55:43.407,34,14,Ms Daniel,Independent,bill,Government,Attorney-General,House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1834,National Anti-Corruption Commission Bill 2022,Detailed amendments—That the Opposition amendments be disagreed to,2022-11-24T13:12:46.147,83,53,Mr Leeser,Liberal Party of Australia,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1835,Higher Education Support Amendment (2022 Measures No. 1) Bill 2022,Detailed amendment—That the Opposition amendment be disagreed to,2022-11-29T10:09:49.723,78,62,Mr Tudge,Liberal Party of Australia,bill,Government,Education,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,No,Aye,Aye,No,No,No,No,No
1836,Government motion,That the motion be agreed to,2022-11-30T08:11:51.977,86,50,Mr Burke,Australian Labor Party,procedural,,,,,FALSE,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,
1837,Suspension of standing and sessional orders,That the motion be disagreed to,2022-12-01T07:31:35.43,83,49,Mr Dutton,Liberal National Party of Queensland,procedural,,,,,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1838,"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",Senate amendments—That the amendments be agreed to,2022-12-02T07:24:54.137,78,42,Mr Burke,Australian Labor Party,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,Aye,No,,Aye
1839,Suspension of standing and sessional orders,That the amendment be disagreed to,2022-12-15T08:02:06.16,81,45,Mr Fletcher,Liberal Party of Australia,procedural,,,,,FALSE,No,Aye,Aye,No,Aye,Aye,Aye,No,No,Aye,No,Aye,
1840,Suspension of standing and sessional orders,That the motion be agreed to,2022-12-15T09:35:55.46,81,45,Mr Butler,Australian Labor Party,procedural,,,,,FALSE,No,Aye,Aye,No,Aye,Aye,Aye,No,No,Aye,No,Aye,
1841,Treasury Laws Amendment (Energy Price Relief Plan) Bill 2022,2nd reading—That the amendment be disagreed to,2022-12-15T11:17:34.387,76,5,Mr Bandt,Australian Greens,bill,Government,Treasury,House of Representatives,Act,FALSE,Aye,Aye,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,
1842,Treasury Laws Amendment (Energy Price Relief Plan) Bill 2022,2nd reading—That the amendment be disagreed to,2022-12-15T11:27:09.047,85,40,Mr Dutton,Liberal National Party of Queensland,bill,Government,Treasury,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,
1843,Treasury Laws Amendment (Energy Price Relief Plan) Bill 2022,That the bill be read a second time,2022-12-15T11:33:26.4,85,40,Dr Chalmers,Australian Labor Party,bill,Government,Treasury,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,
1844,Treasury Laws Amendment (Energy Price Relief Plan) Bill 2022,That the bill be agreed to,2022-12-15T12:01:06.157,85,41,,,bill,Government,Treasury,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,
1849,Suspension of standing and sessional orders,That the amendment be disagreed to,2023-02-07T11:23:55.54,73,68,Mr Fletcher,Liberal Party of Australia,procedural,,,,,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1850,Suspension of standing and sessional orders,That the motion be agreed to,2023-02-07T16:27:19.97,109,17,Mr Burke,Australian Labor Party,procedural,,,,,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1851,Instrument of designation,That the motion be agreed to,2023-02-07T17:52:39.383,78,14,Ms O'Neil,Australian Labor Party,procedural,,,,,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,
1852,Motion for disallowance,That the motion be disagreed to,2023-02-08T08:17:22.577,74,64,Mr Robert,Liberal National Party of Queensland,procedural,,,,,FALSE,No,Aye,No,,No,No,No,No,No,No,No,No,
